rank,unit,score,src_account,dst_account,top_features
23,5077263,0.9990688,2859,376615,payment_format +3.42; gfp_fan_in_bin8 +1.80; amount_paid +1.67
24,5077464,0.9990012,493877,168794,payment_format +4.02; gfp_vs_dst_in_ratio +0.72; amount_paid +0.69
25,5077512,0.99898773,173592,121945,payment_format +4.13; gfp_vs_src_out_fan +0.78; gfp_vs_dst_in_ratio +0.67
26,5077448,0.9989365,16556,159695,payment_format +3.40; gfp_fan_in_bin8 +1.81; gfp_degree_in_bin8 +1.28
27,5077314,0.9987985,390038,209730,payment_format +3.24; gfp_vs_src_in_fan +1.23; gfp_fan_in_bin4 +1.09
28,5077290,0.99871886,27695,198986,payment_format +4.00; gfp_vs_dst_in_ratio +0.84; gfp_vs_src_out_fan +0.79
29,5077412,0.9987172,1503,91398,payment_format +3.38; gfp_fan_in_bin4 +1.17; amount_paid +0.85
30,5077552,0.99869907,173592,515083,payment_format +3.94; gfp_vs_dst_in_ratio +0.67; gfp_vs_src_in_fan +0.53
31,5077258,0.9986596,412597,201106,payment_format +3.89; gfp_vs_src_out_fan +0.90; gfp_vs_dst_in_ratio +0.84
32,5077529,0.998628,117203,391373,payment_format +3.86; gfp_degree_out_bin2 +2.25; hour_of_day +0.76
33,5077586,0.99861467,96738,155,payment_format +3.94; gfp_vs_dst_in_ratio +0.69; gfp_vs_src_in_fan +0.54
34,5077320,0.99858487,247800,496990,payment_format +3.99; gfp_vs_dst_in_ratio +0.68; currency_paid +0.58
35,5077486,0.9985348,118,249161,payment_format +3.85; gfp_vs_dst_in_ratio +1.36; currency_paid +0.71
36,5077359,0.9985286,496975,316957,payment_format +3.16; gfp_fan_in_bin8 +1.97; amount_paid +1.75
37,5077319,0.9984931,29256,394190,payment_format +3.56; gfp_fan_in_bin8 +1.88; gfp_degree_in_bin8 +1.15
38,5077535,0.9984909,410808,175961,payment_format +4.00; gfp_vs_dst_in_ratio +0.73; amount_paid +0.56
39,5077329,0.9984541,410808,174594,payment_format +3.95; gfp_vs_dst_in_ratio +0.75; currency_paid +0.56
40,5077398,0.9984244,378905,402728,payment_format +3.21; gfp_fan_in_bin4 +1.33; amount_paid +0.82
41,5077449,0.9984061,410808,340034,payment_format +3.92; currency_paid +0.61; gfp_vs_dst_in_ratio +0.55
42,5077441,0.9983931,76661,198556,payment_format +3.53; gfp_fan_in_bin4 +1.16; amount_paid +1.00
43,5077401,0.99839205,212881,338097,payment_format +3.92; currency_paid +0.67; gfp_vs_dst_in_ratio +0.66
44,5077483,0.99836177,237173,203291,payment_format +3.39; currency_paid +0.74; amount_paid +0.59
45,5077457,0.9983376,100971,26991,payment_format +3.69; gfp_degree_out_bin2 +1.93; amount_paid +1.35
46,5077355,0.99833375,212881,40338,payment_format +3.77; gfp_vs_dst_in_ratio +0.64; amount_received +0.43
47,5077350,0.9983308,27695,83828,payment_format +3.58; gfp_vs_dst_in_ratio +0.74; amount_received +0.44
48,5077275,0.9982796,43243,262405,payment_format +3.98; gfp_vs_dst_in_ratio +1.14; amount_paid +0.54
49,5077603,0.9981951,192457,101959,payment_format +3.76; gfp_degree_out_bin2 +1.93; amount_paid +0.95
50,5077248,0.9981865,147990,53202,payment_format +3.94; gfp_vs_dst_in_ratio +0.84; gfp_vs_src_in_fan +0.52
51,5077351,0.99809736,6543,343083,payment_format +4.39; gfp_fan_in_bin2 +0.69; amount_received +0.49
52,5077493,0.998097,496980,133239,payment_format +3.65; gfp_vs_dst_in_ratio +0.65; currency_paid +0.55
53,5077400,0.99806684,19311,91407,payment_format +3.27; gfp_fan_in_bin4 +1.17; amount_paid +0.80
54,5077287,0.9980155,173592,398678,payment_format +4.10; gfp_vs_src_out_fan +1.05; gfp_vs_dst_in_ratio +0.70
55,5077595,0.99801457,41965,375227,payment_format +4.09; gfp_fan_in_bin2 +0.58; gfp_vs_src_in_fan +0.51
56,5077621,0.99795014,216912,19991,payment_format +3.96; gfp_fan_in_bin8 +1.55; gfp_degree_out_bin2 +0.91
57,5077506,0.99794906,69201,394190,payment_format +3.11; gfp_fan_in_bin8 +1.98; amount_paid +1.40
58,5077526,0.99794906,54073,394190,payment_format +3.09; gfp_fan_in_bin8 +1.99; amount_paid +1.41
59,5077294,0.9979273,147990,496995,payment_format +4.10; gfp_vs_dst_in_ratio +0.79; currency_paid +0.57
60,5077525,0.9978968,246465,91505,payment_format +4.01; currency_paid +0.64; gfp_vs_dst_in_ratio +0.48
61,5077632,0.9978435,147990,30001,payment_format +3.82; gfp_vs_dst_in_ratio +0.81; amount_paid +0.46
62,5077361,0.9978103,246465,86,payment_format +3.74; gfp_vs_src_out_fan +0.64; gfp_vs_dst_in_ratio +0.61
63,5077451,0.99776316,168034,264223,payment_format +3.82; amount_paid +0.79; gfp_fan_in_bin2 +0.74
64,5077252,0.997758,96738,142882,payment_format +4.17; currency_paid +0.64; gfp_vs_dst_in_ratio +0.52
65,5077516,0.99768686,496983,133239,payment_format +4.01; currency_paid +0.61; gfp_fan_in_bin2 +0.56
66,5077508,0.9976708,289397,19991,payment_format +3.66; gfp_fan_in_bin4 +1.22; amount_received +0.48
67,5077371,0.9976496,410808,310823,payment_format +3.99; gfp_vs_dst_in_ratio +0.97; gfp_vs_src_out_fan +0.43
68,5077610,0.99754363,234432,237476,payment_format +3.69; gfp_fan_in_bin2 +1.03; amount_paid +0.73
69,5077386,0.9974521,236104,237475,payment_format +3.54; gfp_fan_in_bin4 +0.97; amount_paid +0.68
70,5077588,0.9974032,409874,205545,payment_format +4.08; amount_paid +1.19; gfp_vs_src_out_fan +0.98
71,5077630,0.99735665,2253,91398,payment_format +3.51; gfp_fan_in_bin8 +1.41; gfp_degree_in_bin8 +1.13
72,5077616,0.99733824,297722,488887,payment_format +3.47; gfp_fan_in_bin8 +1.64; gfp_degree_in_bin8 +0.94
73,5077518,0.99729663,197745,506714,payment_format +3.86; gfp_fan_in_bin2 +0.66; amount_paid +0.62
74,5077388,0.9972819,152779,198556,payment_format +3.70; gfp_fan_in_bin2 +0.66; currency_paid +0.65
75,5077246,0.9972716,212881,227825,payment_format +3.95; gfp_vs_dst_in_ratio +1.35; gfp_vs_src_out_fan +1.00
76,5077327,0.99715084,27695,53952,payment_format +3.69; gfp_vs_dst_in_ratio +0.88; gfp_vs_src_out_ratio +0.47
77,5077300,0.9970824,268301,394190,payment_format +3.11; gfp_fan_in_bin8 +1.98; gfp_degree_in_bin8 +0.76
78,5077520,0.99699783,112247,488887,payment_format +3.06; gfp_fan_in_bin4 +1.13; amount_paid +0.57
79,5077559,0.99698526,270258,402728,payment_format +3.85; gfp_fan_in_bin2 +0.68; amount_paid +0.62
80,5077435,0.99696106,182700,376615,payment_format +3.62; gfp_fan_in_bin8 +1.74; gfp_degree_in_bin8 +1.02
81,5077537,0.99687994,488858,366069,payment_format +3.88; amount_paid +0.63; gfp_fan_in_bin2 +0.62
82,5077625,0.996775,341491,8336,payment_format +3.50; gfp_fan_in_bin8 +1.47; gfp_degree_in_bin8 +1.03
83,5077542,0.9967483,92001,91398,payment_format +3.75; gfp_fan_in_bin8 +1.74; gfp_degree_in_bin8 +0.80
84,5077379,0.9967444,267424,376615,payment_format +3.73; gfp_fan_in_bin8 +1.21; gfp_degree_in_bin8 +0.65
85,5077403,0.9967006,412597,388277,payment_format +4.03; gfp_vs_dst_in_ratio +0.48; gfp_vs_dst_out_fan +0.37
86,5077392,0.9966941,386623,275134,payment_format +3.75; currency_paid +0.60; amount_paid +0.57
87,5077269,0.9966497,267919,366157,payment_format +3.72; gfp_degree_out_bin2 +2.01; gfp_vs_src_in_fan +0.61
88,5077514,0.9965076,495852,126765,payment_format +3.67; currency_paid +0.60; amount_paid +0.49
89,5077366,0.9964636,164329,386623,payment_format +3.51; gfp_vs_dst_in_ratio +0.60; currency_paid +0.52
90,5077304,0.9961563,366157,333629,payment_format +3.53; gfp_vs_dst_in_ratio +0.60; currency_paid +0.55
91,5077357,0.9960549,400520,262631,payment_format +3.26; gfp_fan_in_bin4 +1.00; gfp_vs_src_in_fan +0.54
92,5077390,0.9960496,122458,38084,payment_format +3.85; gfp_fan_in_bin2 +0.66; amount_paid +0.50
93,5077554,0.99601066,495852,208202,payment_format +4.10; gfp_vs_src_out_fan +0.98; gfp_vs_dst_in_ratio +0.65
94,5077524,0.9959929,237477,234432,payment_format +4.20; currency_paid +0.73; gfp_fan_in_bin2 +0.55
95,5077347,0.99589527,61559,192457,payment_format +3.65; amount_paid +0.75; currency_paid +0.57
96,5077364,0.9955706,28549,105670,payment_format +3.48; currency_paid +0.58; amount_received +0.54
97,5077495,0.9954318,91618,331177,payment_format +3.66; gfp_vs_dst_in_ratio +0.74; amount_received +0.42
98,5077308,0.9953621,93232,245819,payment_format +3.66; gfp_vs_dst_in_ratio +0.78; gfp_vs_src_out_degree +0.70
99,5077593,0.99531835,71587,263734,payment_format +3.75; gfp_degree_out_bin2 +1.90; amount_paid +0.94
100,5077259,0.9952768,268950,91419,payment_format +4.26; gfp_fan_in_bin2 +0.70; amount_paid +0.69
101,5077420,0.99525565,4392,6089,payment_format +3.73; amount_paid +0.64; gfp_degree_out_bin4 +0.42
102,5077572,0.99520135,496985,277670,payment_format +3.14; amount_paid +1.05; gfp_fan_in_bin4 +0.75
103,5077427,0.9951573,409874,303693,payment_format +3.75; currency_paid +0.62; amount_paid +0.44
104,5077577,0.99503833,389725,220940,payment_format +4.18; gfp_vs_dst_in_ratio +0.83; gfp_vs_src_out_fan +0.68
105,5077479,0.99495643,100953,19991,payment_format +2.78; amount_paid +1.16; gfp_fan_in_bin4 +0.85
106,5077481,0.99495643,93006,19991,payment_format +2.78; amount_paid +1.16; gfp_fan_in_bin4 +0.85
107,5077385,0.9949458,496977,19991,payment_format +3.60; amount_paid +0.44; gfp_vs_dst_out_fan +0.40
108,5077306,0.99491715,412597,21282,payment_format +3.90; gfp_vs_dst_in_ratio +0.54; gfp_vs_dst_out_fan +0.36
109,5077557,0.9948488,405872,50548,payment_format +3.60; amount_paid +0.47; gfp_vs_dst_out_fan +0.39
110,5077244,0.9946838,410808,496993,payment_format +3.99; gfp_vs_dst_in_ratio +0.78; currency_paid +0.61
111,5077391,0.9945062,334686,349586,payment_format +3.69; gfp_fan_in_bin2 +0.67; currency_paid +0.62
112,5077331,0.9944089,496974,164894,payment_format +3.52; gfp_vs_dst_in_ratio +0.76; gfp_vs_dst_out_fan +0.49
113,5077596,0.9941677,237467,236102,payment_format +3.83; amount_paid +0.57; currency_paid +0.44
114,5077323,0.99416155,373348,204019,payment_format +3.56; gfp_fan_in_bin2 +0.78; amount_paid +0.69
115,5077309,0.99409497,237477,234859,payment_format +3.20; currency_paid +0.73; amount_paid +0.53
116,5077373,0.99408346,288558,167719,payment_format +3.67; currency_paid +0.60; gfp_vs_dst_out_fan +0.48
117,5077283,0.9940764,186316,111426,payment_format +3.50; amount_paid +0.63; currency_paid +0.61
118,5077266,0.99402976,252409,246502,payment_format +4.00; gfp_degree_in_bin8 +0.57; amount_paid +0.47
119,5077382,0.9938631,26864,332400,payment_format +3.62; gfp_degree_out_bin2 +2.34; currency_paid +0.53
120,5077407,0.9936931,350202,488887,payment_format +3.43; gfp_fan_in_bin4 +1.07; amount_paid +1.05
121,5077409,0.9936713,409589,15128,payment_format +3.69; amount_paid +0.45; gfp_vs_dst_out_fan +0.40
122,5077425,0.99355936,96738,147967,payment_format +3.99; gfp_vs_dst_in_ratio +0.80; gfp_vs_src_in_fan +0.53
123,5077421,0.99334335,91618,92036,payment_format +3.42; currency_paid +0.58; amount_paid +0.54
124,5077375,0.9931538,496976,495087,payment_format +3.67; currency_paid +0.60; gfp_vs_dst_out_fan +0.49
125,5077344,0.99315083,405356,277670,payment_format +3.37; gfp_fan_in_bin4 +1.27; gfp_vs_dst_in_ratio +0.58
126,5077582,0.99289435,11296,96264,payment_format +3.82; gfp_vs_dst_in_ratio +0.88; amount_paid +0.57
127,5077600,0.9926433,7266,8336,payment_format +3.09; gfp_fan_in_bin4 +1.01; amount_paid +0.75
128,5077555,0.9926158,236103,287102,payment_format +3.82; amount_paid +1.25; currency_paid +0.66
129,5077311,0.9925541,496973,205904,payment_format +3.83; currency_paid +0.61; gfp_vs_dst_in_ratio +0.52
130,5077277,0.992401,43243,354582,payment_format +3.96; gfp_vs_dst_in_ratio +1.13; currency_paid +0.58
131,5077584,0.99235314,433660,24061,payment_format +3.52; amount_paid +0.87; gfp_vs_dst_in_ratio +0.33
132,5077402,0.992082,493284,504542,payment_format +3.55; amount_paid +1.33; gfp_fan_in_bin2 +0.52
133,5077473,0.99186784,27259,305973,payment_format +3.18; gfp_fan_in_bin4 +1.01; amount_paid +0.63
134,5077605,0.9918174,220173,322265,payment_format +3.49; gfp_vs_dst_in_ratio +0.58; gfp_vs_src_in_fan +0.51
135,5077429,0.9917402,493877,119864,payment_format +3.78; gfp_vs_src_out_fan +0.83; gfp_vs_dst_in_ratio +0.55
136,5077383,0.99165416,332400,332566,payment_format +3.49; amount_paid +0.99; currency_paid +0.62
