rank,unit,score,src_account,dst_account,top_features
53,4682538,0.9986212,300728,400276,payment_format +3.86; gfp_vs_dst_in_ratio +0.94; gfp_vs_src_in_fan +0.90
54,4749112,0.99862015,228369,228368,payment_format +4.06; amount_paid +0.94; gfp_fan_in_bin2 +0.80
55,4576201,0.9985852,374829,164433,payment_format +3.82; gfp_vs_dst_in_ratio +1.15; gfp_vs_src_in_fan +0.46
56,4523056,0.9985707,248187,251693,payment_format +3.57; gfp_fan_in_bin4 +1.34; amount_paid +0.94
57,4842170,0.99856466,233835,490385,payment_format +3.68; gfp_fan_in_bin4 +0.92; gfp_degree_in_bin8 +0.92
58,4389049,0.9985292,70663,117707,payment_format +3.86; gfp_vs_src_out_degree +0.85; amount_paid +0.70
59,4682540,0.9984896,334211,3070,payment_format +3.91; gfp_fan_in_bin2 +0.93; gfp_vs_dst_in_ratio +0.63
60,4415917,0.99848217,95650,305973,payment_format +3.23; gfp_fan_in_bin8 +1.92; gfp_degree_in_bin8 +0.88
61,4682563,0.9984799,272798,38084,payment_format +3.81; gfp_degree_in_bin8 +1.97; gfp_fan_in_bin8 +1.37
62,4469422,0.99847,374829,46716,payment_format +3.98; gfp_fan_in_bin2 +0.79; amount_paid +0.64
63,4389032,0.9984664,300728,92201,payment_format +3.97; gfp_vs_src_in_fan +0.84; gfp_vs_dst_in_ratio +0.80
64,4682556,0.998417,253560,67898,payment_format +4.37; gfp_fan_in_bin2 +0.70; currency_paid +0.67
65,4496684,0.9983936,326404,264765,payment_format +3.45; gfp_fan_in_bin8 +2.06; gfp_degree_in_bin8 +0.91
66,4282585,0.9983854,12862,413234,payment_format +3.33; gfp_fan_in_bin4 +1.34; amount_paid +0.85
67,4362149,0.9983835,162503,9300,payment_format +3.95; gfp_vs_dst_in_ratio +1.56; gfp_vs_src_in_fan +0.60
68,4722922,0.99837446,334686,236102,payment_format +4.25; currency_paid +0.69; amount_paid +0.66
69,4576209,0.9983735,77186,390038,payment_format +3.65; amount_paid +1.03; gfp_vs_src_in_fan +0.94
70,4335566,0.998329,234859,234432,payment_format +3.79; gfp_fan_in_bin4 +1.42; gfp_degree_in_bin8 +0.82
71,4523054,0.9983217,77186,38528,payment_format +4.12; gfp_vs_dst_in_ratio +0.57; amount_paid +0.48
72,4682549,0.9982887,5878,332409,payment_format +3.28; gfp_fan_in_bin4 +1.16; amount_paid +0.84
73,4709756,0.99828655,162503,304481,payment_format +4.02; gfp_vs_dst_in_ratio +1.13; currency_paid +0.46
74,4549510,0.9982851,27452,332409,payment_format +4.09; gfp_fan_in_bin4 +1.07; gfp_vs_src_out_degree +0.91
75,4389034,0.9982493,494057,507106,payment_format +3.81; amount_paid +0.91; gfp_vs_dst_in_ratio +0.74
76,4629868,0.9982383,301372,8506,payment_format +3.85; gfp_fan_in_bin2 +0.68; amount_paid +0.57
77,4562266,0.99821234,173592,389712,payment_format +4.34; amount_paid +0.79; gfp_vs_src_in_fan +0.78
78,4469431,0.9982095,247800,93006,payment_format +3.82; currency_paid +0.64; gfp_vs_dst_in_ratio +0.56
79,4750446,0.9981785,5767,5769,payment_format +4.15; gfp_fan_in_bin8 +1.52; gfp_vs_dst_in_ratio +0.66
80,4841144,0.9981188,35,382293,payment_format +3.85; gfp_vs_src_in_fan +0.64; gfp_vs_dst_in_ratio +0.63
81,4362141,0.9981079,300728,137750,payment_format +4.00; gfp_vs_src_in_fan +0.87; gfp_vs_dst_in_ratio +0.78
82,4736779,0.9980901,358014,110309,payment_format +3.56; gfp_fan_in_bin4 +1.20; amount_paid +0.80
83,4241553,0.99808913,210096,338891,payment_format +3.84; gfp_vs_dst_in_ratio +1.26; gfp_vs_src_in_fan +1.10
84,4549512,0.998086,131992,186603,payment_format +4.25; gfp_fan_in_bin2 +0.55; amount_paid +0.53
85,4362145,0.99806684,92724,314710,payment_format +3.89; gfp_degree_out_bin2 +2.12; gfp_vs_src_in_fan +0.69
86,4255730,0.9980596,493877,150255,payment_format +3.99; gfp_vs_dst_in_ratio +0.77; gfp_vs_src_in_fan +0.55
87,4722918,0.9980558,495852,135588,payment_format +3.63; currency_paid +0.53; amount_paid +0.52
88,4713896,0.9980544,73414,73417,payment_format +3.53; gfp_fan_in_bin8 +1.46; gfp_vs_dst_out_fan +0.51
89,4291985,0.997995,337455,171491,payment_format +3.60; gfp_fan_in_bin4 +1.38; amount_paid +0.72
90,4655904,0.9979553,338891,253821,payment_format +3.81; gfp_degree_out_bin2 +1.98; amount_paid +0.80
91,4736783,0.997938,247800,61155,payment_format +4.23; gfp_vs_dst_in_ratio +0.95; gfp_fan_in_bin2 +0.90
92,4655891,0.997919,495759,44541,payment_format +3.56; gfp_vs_src_in_fan +0.51; gfp_vs_dst_in_ratio +0.48
93,4430579,0.99790347,26801,26802,payment_format +4.05; gfp_degree_in_bin8 +0.76; amount_paid +0.54
94,4693985,0.9979017,455455,338052,payment_format +3.72; gfp_vs_src_out_ratio +0.91; gfp_degree_in_bin8 +0.78
95,4309209,0.9978951,259488,184479,payment_format +3.61; gfp_vs_dst_in_ratio +1.05; gfp_vs_src_in_fan +0.70
96,4416070,0.99789196,3320,3321,payment_format +3.85; gfp_fan_in_bin2 +0.74; gfp_vs_dst_out_ratio +0.57
97,4629310,0.9978904,25796,334211,payment_format +3.94; gfp_fan_in_bin2 +0.68; currency_paid +0.59
98,4655885,0.997866,407273,318142,payment_format +3.70; currency_paid +0.64; gfp_fan_in_bin2 +0.63
99,4655893,0.99785113,377645,2375,payment_format +3.85; gfp_fan_in_bin2 +0.74; amount_paid +0.67
100,4749691,0.9978169,285167,27812,payment_format +3.93; gfp_vs_dst_in_ratio +0.79; amount_paid +0.68
101,4535824,0.9977997,235189,235461,payment_format +3.90; gfp_vs_dst_in_ratio +0.94; currency_paid +0.63
102,4469432,0.99773186,95567,371333,payment_format +4.25; gfp_fan_in_bin2 +0.69; currency_paid +0.61
103,4709750,0.9976803,311807,93692,payment_format +3.64; gfp_fan_in_bin4 +1.13; amount_paid +0.59
104,4455357,0.9976539,277243,237176,payment_format +3.81; gfp_fan_in_bin2 +0.73; currency_paid +0.52
105,4389042,0.99763405,161552,389426,payment_format +3.82; amount_paid +0.71; gfp_fan_in_bin2 +0.68
106,4576195,0.99760604,413234,99115,payment_format +3.84; amount_paid +1.03; gfp_fan_in_bin2 +0.77
107,4496691,0.9975358,91718,495658,payment_format +4.09; gfp_fan_in_bin4 +1.01; amount_paid +0.86
108,4442444,0.9975095,247800,100953,payment_format +3.95; currency_paid +0.63; gfp_vs_dst_in_ratio +0.54
109,4408596,0.9974841,110961,246905,payment_format +3.78; amount_paid +1.61; gfp_fan_in_bin2 +0.58
110,4706874,0.99744946,352589,195256,payment_format +4.37; amount_paid +0.72; currency_paid +0.46
111,4610019,0.9974355,495695,280387,payment_format +3.56; amount_paid +3.36; gfp_vs_dst_out_fan +0.86
112,4676265,0.99742365,329152,312449,payment_format +4.45; amount_paid +0.72; currency_paid +0.56
113,4576223,0.9974228,392722,38084,payment_format +3.26; gfp_fan_in_bin4 +1.67; amount_paid +0.98
114,4676101,0.9974184,92227,127396,payment_format +4.14; currency_paid +0.65; gfp_vs_dst_in_ratio +0.54
115,4709759,0.9974099,401451,417087,payment_format +3.57; gfp_vs_dst_in_ratio +0.72; gfp_vs_src_in_fan +0.46
116,4509699,0.99738294,1025,1024,payment_format +3.53; amount_received +0.46; amount_paid +0.42
117,4523038,0.99737155,494057,319786,payment_format +4.03; gfp_fan_in_bin2 +0.74; amount_paid +0.72
118,4789529,0.9973629,320791,490629,payment_format +4.17; gfp_fan_in_bin2 +0.66; gfp_vs_src_out_ratio +0.60
119,4832902,0.9973537,495973,339656,payment_format +3.50; amount_paid +2.54; gfp_fan_in_bin4 +0.88
120,4384997,0.99733514,175271,416427,payment_format +4.28; gfp_vs_dst_in_ratio +0.76; gfp_fan_in_bin2 +0.63
121,4513311,0.9973078,70122,505029,payment_format +4.25; amount_paid +0.53; gfp_fan_in_bin2 +0.50
122,4639873,0.99728954,495733,414281,payment_format +3.24; amount_paid +0.99; gfp_fan_in_bin2 +0.44
123,4848398,0.99728394,279309,113721,payment_format +4.06; gfp_vs_dst_in_ratio +0.87; amount_paid +0.48
124,4496678,0.9972621,156274,18986,payment_format +4.02; gfp_vs_dst_in_ratio +0.94; gfp_vs_src_in_fan +0.53
125,4549499,0.9972429,20606,295285,payment_format +3.94; gfp_vs_dst_in_ratio +1.14; amount_paid +0.69
126,4523061,0.9972355,237477,234859,payment_format +3.22; gfp_fan_in_bin4 +1.18; gfp_degree_in_bin8 +1.01
127,4629305,0.9972326,469621,64478,payment_format +4.31; gfp_vs_src_out_fan +0.68; gfp_fan_in_bin2 +0.66
128,4496279,0.99720013,235972,235971,payment_format +3.50; amount_paid +1.33; gfp_fan_in_bin2 +0.71
129,4389036,0.9971982,6021,157933,payment_format +3.66; gfp_vs_dst_in_ratio +1.20; gfp_vs_dst_out_ratio +0.86
130,4549519,0.9971328,494085,112247,payment_format +3.92; gfp_fan_in_bin4 +1.02; gfp_vs_src_out_fan +0.74
131,4696361,0.99712807,366906,5700,payment_format +3.66; gfp_vs_src_in_fan +0.41; gfp_vs_dst_out_fan +0.37
132,4735424,0.99709356,220255,505443,payment_format +3.63; gfp_fan_in_bin4 +1.05; amount_paid +0.90
133,4762904,0.99708,227102,99876,payment_format +3.74; gfp_vs_dst_in_ratio +0.87; gfp_vs_src_in_fan +0.69
134,4442429,0.99703836,7287,511782,payment_format +4.23; gfp_vs_dst_in_ratio +1.09; gfp_fan_in_bin2 +0.55
135,4716955,0.99703157,275016,264279,payment_format +3.42; gfp_fan_in_bin8 +1.96; amount_paid +0.89
136,4682553,0.9970094,46752,348573,payment_format +3.67; currency_paid +0.65; gfp_vs_dst_out_fan +0.49
137,4255726,0.99700886,318379,50719,payment_format +4.37; amount_paid +0.69; gfp_fan_in_bin2 +0.66
138,4692109,0.997003,174896,495930,payment_format +3.84; amount_paid +2.13; currency_paid +0.53
139,4668239,0.9969869,363392,227890,payment_format +4.28; gfp_fan_in_bin2 +0.60; amount_paid +0.55
140,4576207,0.9969806,93151,493369,payment_format +4.41; gfp_vs_dst_in_ratio +1.21; gfp_fan_in_bin2 +0.48
141,4523040,0.9969716,327930,204695,payment_format +3.81; gfp_fan_in_bin2 +0.78; gfp_vs_src_in_fan +0.56
142,4496690,0.99694794,100364,394190,payment_format +3.41; amount_paid +1.03; gfp_fan_in_bin4 +0.67
143,4776083,0.996938,279770,323234,payment_format +3.52; gfp_fan_in_bin4 +1.35; gfp_degree_in_bin8 +0.59
144,4831774,0.9969278,263199,278353,payment_format +3.79; gfp_vs_dst_in_ratio +0.83; amount_paid +0.49
145,4554986,0.9969266,98319,98320,payment_format +4.18; gfp_fan_in_bin2 +0.76; gfp_degree_in_bin8 +0.62
146,4659866,0.9969169,434489,343423,payment_format +3.59; gfp_fan_in_bin4 +1.34; gfp_degree_in_bin8 +0.55
147,4736409,0.9969133,129024,302488,payment_format +3.69; amount_paid +0.71; gfp_fan_in_bin2 +0.63
148,4392685,0.99691075,66043,66042,payment_format +3.69; gfp_fan_in_bin2 +0.79; gfp_vs_dst_out_ratio +0.59
149,4655877,0.9968958,364834,4474,payment_format +3.87; gfp_vs_dst_in_ratio +0.62; gfp_vs_src_in_fan +0.54
150,4550334,0.9968947,8291,293328,payment_format +3.41; gfp_vs_dst_in_ratio +1.19; gfp_fan_in_bin2 +0.90
151,4442432,0.99688125,345405,14136,payment_format +3.68; gfp_vs_dst_in_ratio +1.58; amount_paid +0.52
152,4867728,0.99686265,305824,224411,payment_format +3.51; gfp_vs_src_out_degree +0.77; gfp_vs_src_in_fan +0.69
153,4255732,0.99684924,43243,184580,payment_format +4.15; gfp_fan_in_bin2 +0.78; gfp_vs_dst_in_ratio +0.68
154,4576219,0.99682474,181667,37152,payment_format +3.75; gfp_fan_in_bin4 +1.27; amount_paid +0.45
155,4736772,0.99681586,174889,50719,payment_format +3.79; gfp_fan_in_bin8 +1.75; gfp_degree_in_bin8 +1.33
156,4657303,0.99677545,396854,52277,payment_format +4.10; amount_paid +0.65; gfp_vs_dst_in_ratio +0.56
157,4736764,0.99677,252773,224890,payment_format +3.26; gfp_vs_dst_in_ratio +1.13; gfp_vs_src_in_fan +0.74
158,4405554,0.99676526,54153,408077,payment_format +4.12; gfp_vs_dst_in_ratio +0.59; gfp_vs_src_in_fan +0.42
159,4843321,0.9967638,20557,407346,payment_format +3.94; gfp_vs_dst_in_ratio +0.57; gfp_vs_dst_out_fan +0.46
160,4799223,0.99676126,184455,387478,payment_format +3.84; gfp_vs_dst_in_ratio +0.96; gfp_vs_dst_out_fan +0.54
161,4340620,0.996759,294093,93985,payment_format +4.23; amount_paid +0.74; gfp_fan_in_bin2 +0.71
162,4341997,0.9967243,325325,118489,payment_format +4.12; amount_paid +0.67; gfp_fan_in_bin2 +0.62
163,4728457,0.9967084,94291,107015,payment_format +3.73; gfp_vs_dst_in_ratio +0.65; currency_paid +0.43
164,4736418,0.9967083,389725,228084,payment_format +3.55; gfp_vs_dst_in_ratio +0.78; gfp_vs_src_out_degree +0.75
165,4607338,0.99669135,89738,89737,payment_format +3.88; gfp_fan_in_bin4 +0.92; amount_paid +0.83
166,4415915,0.99664634,245961,234294,payment_format +3.49; currency_paid +0.70; gfp_vs_dst_in_ratio +0.61
167,4789114,0.9966354,113296,8336,payment_format +3.55; amount_paid +0.49; gfp_vs_src_in_fan +0.48
168,4389047,0.99661,352062,2950,payment_format +3.92; gfp_fan_in_bin4 +1.54; gfp_vs_src_out_ratio +0.42
169,4629315,0.9966024,275486,285789,payment_format +3.62; gfp_fan_in_bin2 +1.21; gfp_vs_src_in_fan +0.65
170,4215599,0.9965918,9700,9701,payment_format +4.25; gfp_fan_in_bin2 +0.58; amount_paid +0.53
171,4549502,0.99653375,369545,93232,payment_format +3.64; gfp_vs_dst_out_degree +0.76; gfp_fan_in_bin4 +0.64
172,4435182,0.99649674,112182,112183,payment_format +3.92; currency_paid +0.66; gfp_fan_in_bin2 +0.53
173,4632635,0.99648017,297691,58239,payment_format +3.88; amount_paid +0.93; gfp_fan_in_bin4 +0.92
174,4538727,0.9964784,4729,319543,payment_format +3.93; gfp_vs_dst_in_ratio +0.89; gfp_fan_in_bin2 +0.65
175,4787790,0.9964437,210755,266079,payment_format +3.89; gfp_vs_dst_in_ratio +0.78; currency_paid +0.59
176,4843332,0.9964407,86042,402201,payment_format +4.36; gfp_fan_in_bin2 +0.48; gfp_fan_out_bin2 +0.37
177,4740468,0.9964384,70147,70148,payment_format +3.88; amount_paid +0.93; gfp_fan_in_bin4 +0.91
178,4489005,0.9964167,269014,428939,payment_format +3.94; currency_paid +0.63; amount_paid +0.62
179,4572641,0.9964097,276062,181308,payment_format +3.83; gfp_fan_in_bin4 +0.95; amount_paid +0.67
180,4309211,0.9963988,162723,387947,payment_format +3.57; amount_paid +0.55; gfp_vs_src_in_fan +0.52
181,4549529,0.99638915,91370,91521,payment_format +4.19; gfp_fan_in_bin2 +0.75; amount_paid +0.61
182,4512334,0.9963882,50587,302393,payment_format +3.87; amount_paid +1.03; gfp_vs_dst_in_ratio +0.70
183,4805502,0.99638355,343129,54699,payment_format +3.67; amount_paid +1.36; gfp_fan_in_bin2 +0.73
184,4416211,0.9963601,5994,5993,payment_format +3.62; gfp_fan_in_bin2 +0.70; gfp_vs_dst_out_ratio +0.61
185,4655875,0.99633586,332405,249869,payment_format +3.58; amount_paid +0.86; gfp_fan_in_bin2 +0.62
186,4390867,0.9963044,430268,33342,payment_format +4.07; gfp_fan_in_bin2 +0.50; gfp_degree_out_bin4 +0.37
187,4546671,0.9962477,448294,191610,payment_format +3.84; currency_paid +0.57; amount_paid +0.41
188,4629328,0.99623424,234243,233931,payment_format +3.65; gfp_fan_in_bin2 +0.90; gfp_vs_src_out_degree +0.79
189,4677446,0.99622715,152013,152014,payment_format +3.31; amount_paid +1.31; gfp_fan_in_bin2 +0.91
190,4549517,0.9962263,233810,234243,payment_format +3.38; gfp_fan_in_bin4 +0.81; gfp_degree_in_bin8 +0.78
191,4685567,0.9961922,310839,53226,payment_format +3.94; gfp_vs_dst_in_ratio +0.83; gfp_vs_dst_out_fan +0.34
192,4479100,0.9961331,175282,175146,payment_format +3.93; amount_paid +2.27; gfp_vs_dst_in_ratio +0.70
193,4626644,0.99612063,334016,197019,payment_format +3.66; amount_paid +0.92; gfp_vs_dst_in_ratio +0.62
194,4711287,0.9961004,284085,342718,payment_format +3.79; amount_paid +0.53; gfp_vs_dst_out_ratio +0.40
195,4744561,0.9960955,111895,337023,payment_format +3.70; amount_paid +1.42; gfp_vs_dst_in_ratio +0.66
196,4682551,0.99608624,407347,328311,payment_format +2.86; amount_paid +1.68; gfp_fan_in_bin4 +0.93
197,4413273,0.99608314,197614,197607,payment_format +3.76; gfp_vs_dst_in_ratio +1.18; amount_paid +0.49
198,4671452,0.99608105,495776,41279,payment_format +3.61; amount_paid +0.96; gfp_vs_dst_in_ratio +0.72
199,4541490,0.9960718,94158,298681,payment_format +3.71; gfp_fan_in_bin2 +0.79; gfp_degree_out_bin4 +0.64
200,4547032,0.9960672,295854,254837,payment_format +3.84; gfp_vs_dst_in_ratio +0.84; currency_paid +0.67
201,4523060,0.99605966,247800,289397,payment_format +4.17; currency_paid +0.63; gfp_vs_dst_in_ratio +0.46
202,4755437,0.9960454,368239,97658,payment_format +4.13; gfp_vs_dst_in_ratio +0.91; gfp_fan_in_bin2 +0.62
203,4672480,0.9959388,20608,500556,payment_format +3.83; gfp_vs_dst_in_ratio +0.68; gfp_fan_in_bin2 +0.65
204,4661595,0.9959265,104950,394934,payment_format +3.87; gfp_vs_dst_in_ratio +1.11; currency_paid +0.51
205,4855068,0.99592507,353529,159695,payment_format +3.58; gfp_vs_dst_in_ratio +0.99; gfp_vs_src_out_degree +0.90
206,4789537,0.99587727,323234,347908,payment_format +4.37; gfp_vs_src_out_degree +0.90; gfp_fan_in_bin2 +0.62
207,4516542,0.995869,354940,354977,payment_format +3.81; gfp_vs_dst_in_ratio +0.65; currency_paid +0.41
208,4861529,0.99585885,343969,498688,payment_format +4.14; gfp_fan_in_bin2 +0.49; gfp_fan_out_bin2 +0.37
209,4551101,0.9958423,28814,314953,payment_format +4.47; gfp_fan_in_bin2 +0.49; gfp_degree_out_bin4 +0.42
210,4450673,0.9958412,154302,148293,payment_format +3.90; amount_paid +0.51; amount_received +0.45
211,4507839,0.9958288,451301,499528,payment_format +4.07; currency_paid +0.83; amount_paid +0.62
212,4868332,0.9958269,296539,234032,payment_format +4.05; gfp_vs_dst_in_ratio +0.69; gfp_fan_in_bin2 +0.67
213,4263163,0.99580425,140780,140781,payment_format +3.88; amount_paid +1.26; gfp_vs_dst_in_ratio +0.86
214,4580967,0.99578565,474856,87328,payment_format +3.35; gfp_fan_in_bin8 +1.81; gfp_degree_in_bin8 +1.29
215,4523042,0.9957806,267178,77323,payment_format +3.78; gfp_fan_in_bin4 +1.00; amount_paid +0.86
216,4434435,0.99577564,99947,320975,payment_format +4.22; gfp_fan_in_bin2 +0.63; currency_paid +0.58
217,4525358,0.9957194,394235,412593,payment_format +4.06; gfp_fan_in_bin2 +0.77; gfp_vs_dst_in_ratio +0.72
218,4690022,0.9957064,133495,405983,payment_format +4.01; amount_paid +0.64; gfp_vs_dst_in_ratio +0.57
219,4582423,0.99569356,289477,389474,payment_format +3.97; gfp_vs_src_out_degree +0.56; gfp_fan_in_bin2 +0.53
220,4354788,0.9956774,108992,512580,payment_format +3.98; gfp_vs_dst_in_ratio +0.60; currency_paid +0.53
221,4648701,0.9956136,476563,368346,payment_format +3.54; gfp_fan_in_bin4 +0.98; currency_paid +0.68
222,4547173,0.9956079,494550,200498,payment_format +3.88; amount_paid +1.15; gfp_vs_dst_in_ratio +0.76
223,4531482,0.99554366,156278,156279,payment_format +2.98; amount_paid +1.64; gfp_fan_in_bin2 +0.63
224,4594786,0.9955414,103109,368189,payment_format +3.92; gfp_fan_in_bin2 +0.74; gfp_vs_dst_out_ratio +0.55
225,4509273,0.9955214,401984,376367,payment_format +3.67; currency_paid +0.68; gfp_fan_in_bin2 +0.61
226,4494161,0.99551266,198114,198113,payment_format +3.94; currency_paid +0.74; gfp_fan_in_bin2 +0.58
227,4507752,0.99550456,211133,504025,payment_format +3.65; gfp_vs_dst_in_ratio +0.82; gfp_fan_in_bin2 +0.63
228,4619925,0.9954886,78723,78724,payment_format +3.87; amount_paid +0.85; gfp_vs_dst_in_ratio +0.72
229,4710224,0.9954829,409751,244435,payment_format +4.19; gfp_fan_in_bin2 +0.56; amount_paid +0.46
230,4658696,0.99545056,51771,51774,payment_format +3.83; gfp_fan_in_bin4 +1.07; amount_paid +0.93
231,4709745,0.9954437,96738,413233,payment_format +3.74; amount_paid +0.91; currency_paid +0.56
232,4655879,0.9954419,43243,160089,payment_format +3.86; gfp_vs_dst_in_ratio +0.97; gfp_vs_src_in_fan +0.90
233,4789531,0.9954282,50838,93232,payment_format +3.51; amount_paid +0.98; gfp_vs_dst_out_degree +0.77
234,4715220,0.9954249,495835,274934,payment_format +3.37; amount_paid +1.33; currency_paid +0.50
235,4501269,0.9954234,85815,307352,payment_format +4.05; gfp_fan_in_bin2 +0.77; gfp_vs_dst_in_ratio +0.72
236,4793558,0.99539834,41187,77520,payment_format +3.91; gfp_fan_in_bin4 +1.12; gfp_vs_dst_in_ratio +0.30
